Step,Steer,Accel,Brake
207,0,0.965,0
208,0,0.96,0
209,0,0.955,0
210,0,0.95,0
211,0,0.945,0
212,0,0.94,0
213,0,0.935,0
214,0,0.9299999999999999,0
215,0,0.925,0
216,0,0.92,0
217,0,0.915,0
218,0,0.91,0
219,0,0.905,0
220,0,0.9,0
221,0,0.895,0
222,0,0.89,0
223,0,0.885,0
224,0,0.88,0
225,0,0.875,0
226,0,0.87,0
227,0,0.865,0
228,0,0.86,0
229,0,0.855,0
230,0,0.85,0
231,0,0.845,0
232,0,0.84,0
233,0,0.835,0
234,0,0.83,0
235,0,0.825,0
236,0,0.8200000000000001,0
237,0,0.815,0
238,0,0.81,0
239,0,0.8049999999999999,0
240,0,0.8,0
241,0,0.795,0
242,0,0.79,0
243,0,0.785,0
244,0,0.78,0
245,0,0.775,0
246,0,0.77,0
247,0,0.765,0
248,0,0.76,0
249,0,0.755,0
250,0,0.75,0
251,0,0.745,0
252,0,0.74,0
253,0,0.735,0
254,0,0.73,0
255,0,0.725,0
256,0,0.72,0
257,0,0.7150000000000001,0
258,0,0.71,0
259,0,0.7050000000000001,0
260,0,0.7,0
261,0,0.6950000000000001,0
262,0,0.69,0
263,0,0.685,0
264,0,0.6799999999999999,0
265,0,0.675,0
266,0,0.6699999999999999,0
267,0,0.665,0
268,0,0.6599999999999999,0
269,0,0.655,0
270,0,0.65,0
271,0,0.645,0
272,0,0.64,0
273,0,0.635,0
274,0,0.63,0
275,0,0.625,0
276,0,0.62,0
277,0,0.615,0
278,0,0.61,0
279,0,0.605,0
280,0,0.6,0
281,0,0.595,0
282,0,0.5900000000000001,0
283,0,0.585,0
284,0,0.5800000000000001,0
285,0,0.575,0
286,0,0.5700000000000001,0
287,0,0.565,0
288,0,0.56,0
289,0,0.5549999999999999,0
290,0,0.55,0
291,0,0.5449999999999999,0
292,0,0.54,0
293,0,0.5349999999999999,0
294,0,0.53,0
295,0,0.525,0
296,0,0.52,0
297,0,0.515,0
298,0,0.51,0
299,0,0.505,0
300,0,0.505,0
301,0,0.505,0
302,0,0.505,0
303,0,0.505,0
304,0,0.505,0
305,0,0.505,0
306,0,0.505,0
307,0,0.505,0
308,0,0.505,0
309,0,0.505,0
310,0,0.505,0
311,0,0.505,0
312,0,0.505,0
313,0,0.505,0
314,0,0.505,0
315,0,0.505,0
316,0,0.505,0
317,0,0.505,0
318,0,0.505,0
319,0,0.505,0
320,0,0.505,0
321,0,0.505,0
322,0,0.505,0
323,0,0.505,0
324,0,0.505,0
325,0,0.505,0
326,0,0.505,0
327,0,0.505,0
328,0,0.505,0
329,0,0.505,0
330,0,0.505,0
331,0,0.505,0
332,0,0.505,0
333,0,0.505,0
334,0,0.505,0
335,0,0.505,0
336,0,0.505,0
337,0,0.505,0
338,0,0.505,0
339,0,0.505,0
340,0,0.505,0
341,0,0.505,0
342,0,0.505,0
343,0,0.505,0
344,0,0.505,0
345,0,0.505,0
346,0,0.505,0
347,0,0.505,0
348,0,0.505,0
349,0,0.505,0
350,0,0.505,0
351,0,0.505,0
352,0,0.505,0
353,0,0.505,0
354,0,0.505,0
355,0,0.505,0
356,0,0.505,0
357,0,0.505,0
358,0,0.505,0
359,0,0.505,0
360,0,0.505,0
361,0,0.505,0
362,0,0.505,0
363,0,0.505,0
364,0,0.505,0
365,0,0.505,0
366,0,0.505,0
367,0,0.505,0
368,0,0.505,0
369,0,0.505,0
370,0,0.505,0
371,0,0.505,0
372,0,0.505,0
373,0,0.505,0
374,0,0.505,0
375,0,0.505,0
376,0,0.505,0
377,0,0.505,0
378,0,0.505,0
379,0,0.505,0
380,0,0.505,0
381,0,0.505,0
382,0,0.505,0
383,0,0.505,0
384,0,0.505,0
385,0,0.505,0
386,0,0.505,0
387,0,0.505,0
388,0,0.505,0
389,0,0.505,0
390,0,0.505,0
391,0,0.505,0
392,0,0.505,0
393,0,0.505,0
394,0,0.505,0
395,0,0.505,0
396,0,0.505,0
397,0,0.505,0
398,0,0.505,0
399,0,0.505,0
400,-0.01,0.505,0
401,-0.02,0.505,0
402,-0.03,0.505,0
403,-0.04,0.505,0
404,-0.05,0.505,0
405,-0.06,0.505,0
406,-0.07,0.505,0
407,-0.08,0.505,0
408,-0.09,0.505,0
409,-0.1,0.505,0
410,-0.11,0.505,0
411,-0.12,0.505,0
412,-0.13,0.505,0
413,-0.14,0.505,0
414,-0.15,0.505,0
415,-0.16,0.505,0
416,-0.17,0.505,0
417,-0.18,0.505,0
418,-0.19,0.505,0
419,-0.2,0.505,0
420,-0.21,0.505,0
421,-0.22,0.505,0
422,-0.23,0.505,0
423,-0.24,0.505,0
424,-0.25,0.505,0
425,-0.26,0.505,0
426,-0.27,0.505,0
427,-0.28,0.505,0
428,-0.29,0.505,0
429,-0.3,0.505,0
430,-0.31,0.505,0
431,-0.32,0.505,0
432,-0.33,0.505,0
433,-0.34,0.505,0
434,-0.35,0.505,0
435,-0.36,0.505,0
436,-0.37,0.505,0
437,-0.38,0.505,0
438,-0.39,0.505,0
439,-0.4,0.505,0
440,-0.41,0.505,0
441,-0.42,0.505,0
442,-0.43,0.505,0
443,-0.44,0.505,0
444,-0.45,0.505,0
445,-0.46,0.505,0
446,-0.47,0.505,0
447,-0.48,0.505,0
448,-0.49,0.505,0
449,-0.5,0.505,0
450,-0.51,0.505,0
451,-0.52,0.505,0
452,-0.53,0.505,0
453,-0.54,0.505,0
454,-0.55,0.505,0
455,-0.56,0.505,0
456,-0.57,0.505,0
457,-0.58,0.505,0
458,-0.59,0.505,0
459,-0.6,0.505,0
460,-0.61,0.505,0
461,-0.62,0.505,0
462,-0.63,0.505,0
463,-0.64,0.505,0
464,-0.65,0.505,0
465,-0.66,0.505,0
466,-0.67,0.505,0
467,-0.68,0.505,0
468,-0.69,0.505,0
469,-0.7,0.505,0
470,-0.71,0.505,0
471,-0.72,0.505,0
472,-0.73,0.505,0
473,-0.74,0.505,0
474,-0.75,0.505,0
475,-0.76,0.505,0
476,-0.77,0.505,0
477,-0.78,0.505,0
478,-0.79,0.505,0
479,-0.8,0.505,0
480,-0.81,0.505,0
481,-0.82,0.505,0
482,-0.83,0.505,0
483,-0.84,0.505,0
484,-0.85,0.505,0
485,-0.86,0.505,0
486,-0.87,0.505,0
487,-0.88,0.505,0
488,-0.89,0.505,0
489,-0.9,0.505,0
490,-0.91,0.505,0
491,-0.92,0.505,0
492,-0.93,0.505,0
493,-0.94,0.505,0
494,-0.95,0.505,0
495,-0.96,0.505,0
496,-0.97,0.505,0
497,-0.98,0.505,0
498,-0.99,0.505,0
499,-1.0,0.505,0
500,-1.0,0.505,0
501,-1.0,0.505,0
502,-1.0,0.505,0
503,-1.0,0.505,0
504,-1.0,0.505,0
505,-1.0,0.505,0
506,-1.0,0.505,0
507,-1.0,0.505,0
508,-1.0,0.505,0
509,-1.0,0.505,0
510,-1.0,0.505,0
511,-1.0,0.505,0
512,-1.0,0.505,0
513,-1.0,0.505,0
514,-1.0,0.505,0
515,-1.0,0.505,0
516,-1.0,0.505,0
517,-1.0,0.505,0
518,-1.0,0.505,0
519,-1.0,0.505,0
520,-1.0,0.505,0
521,-1.0,0.505,0
522,-1.0,0.505,0
523,-1.0,0.505,0
524,-1.0,0.505,0
525,-1.0,0.505,0
526,-1.0,0.505,0
527,-1.0,0.505,0
528,-1.0,0.505,0
529,-1.0,0.505,0
530,-1.0,0.505,0
531,-1.0,0.505,0
532,-1.0,0.505,0
533,-1.0,0.505,0
534,-1.0,0.505,0
535,-1.0,0.505,0
536,-1.0,0.505,0
537,-1.0,0.505,0
538,-1.0,0.505,0
539,-1.0,0.505,0
540,-1.0,0.505,0
541,-1.0,0.505,0
542,-1.0,0.505,0
543,-1.0,0.505,0
544,-1.0,0.505,0
545,-1.0,0.505,0
546,-1.0,0.505,0
547,-1.0,0.505,0
548,-1.0,0.505,0
549,-1.0,0.505,0
550,-1.0,0.505,0
551,-1.0,0.505,0
552,-1.0,0.505,0
553,-1.0,0.505,0
554,-1.0,0.505,0
555,-1.0,0.505,0
556,-1.0,0.505,0
557,-1.0,0.505,0
558,-1.0,0.505,0
559,-1.0,0.505,0
560,-1.0,0.505,0
561,-1.0,0.505,0
562,-1.0,0.505,0
563,-1.0,0.505,0
564,-1.0,0.505,0
565,-1.0,0.505,0
566,-1.0,0.505,0
567,-1.0,0.505,0
568,-1.0,0.505,0
569,-1.0,0.505,0
570,-1.0,0.505,0
571,-1.0,0.505,0
572,-1.0,0.505,0
573,-1.0,0.505,0
574,-1.0,0.505,0
575,-1.0,0.505,0
576,-1.0,0.505,0
577,-1.0,0.505,0
578,-1.0,0.505,0
579,-1.0,0.505,0
580,-1.0,0.505,0
581,-1.0,0.505,0
582,-1.0,0.505,0
583,-1.0,0.505,0
584,-1.0,0.505,0
585,-1.0,0.505,0
586,-1.0,0.505,0
587,-1.0,0.505,0
588,-1.0,0.505,0
589,-1.0,0.505,0
590,-1.0,0.505,0
591,-1.0,0.505,0
592,-1.0,0.505,0
593,-1.0,0.505,0
594,-1.0,0.505,0
595,-1.0,0.505,0
596,-1.0,0.505,0
597,-1.0,0.505,0
598,-1.0,0.505,0
599,-1.0,0.505,0
600,-1.0,0.505,0
601,-0.98,0.505,0
602,-0.97,0.505,0
603,-0.96,0.505,0
604,-0.95,0.505,0
605,-0.94,0.505,0
606,-0.9299999999999999,0.505,0
607,-0.92,0.505,0
608,-0.91,0.505,0
609,-0.9,0.505,0
610,-0.89,0.505,0
611,-0.88,0.505,0
612,-0.87,0.505,0
613,-0.86,0.505,0
614,-0.85,0.505,0
615,-0.84,0.505,0
616,-0.83,0.505,0
617,-0.8200000000000001,0.505,0
618,-0.81,0.505,0
619,-0.8,0.505,0
620,-0.79,0.505,0
621,-0.78,0.505,0
622,-0.77,0.505,0
623,-0.76,0.505,0
624,-0.75,0.505,0
625,-0.74,0.505,0
626,-0.73,0.505,0
627,-0.72,0.505,0
628,-0.71,0.505,0
629,-0.7,0.505,0
630,-0.69,0.505,0
631,-0.6799999999999999,0.505,0
632,-0.6699999999999999,0.505,0
633,-0.6599999999999999,0.505,0
634,-0.65,0.505,0
635,-0.64,0.505,0
636,-0.63,0.505,0
637,-0.62,0.505,0
638,-0.61,0.505,0
639,-0.6,0.505,0
640,-0.5900000000000001,0.505,0
641,-0.5800000000000001,0.505,0
642,-0.5700000000000001,0.505,0
643,-0.56,0.505,0
644,-0.55,0.505,0
645,-0.54,0.505,0
646,-0.53,0.505,0
647,-0.52,0.505,0
648,-0.51,0.505,0
649,-0.5,0.505,0
650,-0.49,0.505,0
651,-0.48,0.505,0
652,-0.47,0.505,0
653,-0.45999999999999996,0.505,0
654,-0.44999999999999996,0.505,0
655,-0.43999999999999995,0.505,0
656,-0.43000000000000005,0.505,0
657,-0.42000000000000004,0.505,0
658,-0.41000000000000003,0.505,0
659,-0.4,0.505,0
660,-0.39,0.505,0
661,-0.38,0.505,0
662,-0.37,0.505,0
663,-0.36,0.505,0
664,-0.35,0.505,0
665,-0.33999999999999997,0.505,0
666,-0.32999999999999996,0.505,0
667,-0.31999999999999995,0.505,0
668,-0.31000000000000005,0.505,0
669,-0.30000000000000004,0.505,0
670,-0.29000000000000004,0.505,0
671,-0.28,0.505,0
672,-0.27,0.505,0
673,-0.26,0.505,0
674,-0.25,0.505,0
675,-0.24,0.505,0
676,-0.22999999999999998,0.505,0
677,-0.21999999999999997,0.505,0
678,-0.20999999999999996,0.505,0
679,-0.19999999999999996,0.505,0
680,-0.18999999999999995,0.505,0
681,-0.18000000000000005,0.505,0
682,-0.17000000000000004,0.505,0
683,-0.16000000000000003,0.505,0
684,-0.15000000000000002,0.505,0
685,-0.14,0.505,0
686,-0.13,0.505,0
687,-0.12,0.505,0
688,-0.10999999999999999,0.505,0
689,-0.09999999999999998,0.505,0
690,-0.08999999999999997,0.505,0
691,-0.07999999999999996,0.505,0
692,-0.06999999999999995,0.505,0
693,-0.06000000000000005,0.505,0
694,-0.050000000000000044,0.505,0
695,-0.040000000000000036,0.505,0
696,-0.030000000000000027,0.505,0
697,-0.020000000000000018,0.505,0
698,-0.010000000000000009,0.505,0
699,0.0,0.505,0
700,0.010000000000000009,0.505,0
701,0.020000000000000018,0.505,0
702,0.030000000000000027,0.505,0
703,0.040000000000000036,0.505,0
704,0.050000000000000044,0.505,0
705,0.06000000000000005,0.505,0
706,0.07000000000000006,0.505,0
707,0.08000000000000007,0.505,0
708,0.09000000000000008,0.505,0
709,0.10000000000000009,0.505,0
710,0.1100000000000001,0.505,0
711,0.1200000000000001,0.505,0
712,0.1299999999999999,0.505,0
713,0.1399999999999999,0.505,0
714,0.1499999999999999,0.505,0
715,0.15999999999999992,0.505,0
716,0.16999999999999993,0.505,0
717,0.17999999999999994,0.505,0
718,0.18999999999999995,0.505,0
719,0.19999999999999996,0.505,0
720,0.20999999999999996,0.505,0
721,0.21999999999999997,0.505,0
722,0.22999999999999998,0.505,0
723,0.24,0.505,0
724,0.25,0.505,0
725,0.26,0.505,0
726,0.27,0.505,0
727,0.28,0.505,0
728,0.29000000000000004,0.505,0
729,0.30000000000000004,0.505,0
730,0.31000000000000005,0.505,0
731,0.32000000000000006,0.505,0
732,0.33000000000000007,0.505,0
733,0.3400000000000001,0.505,0
734,0.3500000000000001,0.505,0
735,0.3600000000000001,0.505,0
736,0.3700000000000001,0.505,0
737,0.3799999999999999,0.505,0
738,0.3899999999999999,0.505,0
739,0.3999999999999999,0.505,0
740,0.4099999999999999,0.505,0
741,0.41999999999999993,0.505,0
742,0.42999999999999994,0.505,0
743,0.43999999999999995,0.505,0
744,0.44999999999999996,0.505,0
745,0.45999999999999996,0.505,0
746,0.47,0.505,0
747,0.48,0.505,0
748,0.49,0.505,0
749,0.5,0.505,0
750,0.51,0.505,0
751,0.52,0.505,0
752,0.53,0.505,0
753,0.54,0.505,0
754,0.55,0.505,0
755,0.56,0.505,0
756,0.5700000000000001,0.505,0
757,0.5800000000000001,0.505,0
758,0.5900000000000001,0.505,0
759,0.6000000000000001,0.505,0
760,0.6100000000000001,0.505,0
761,0.6200000000000001,0.505,0
762,0.6299999999999999,0.505,0
763,0.6399999999999999,0.505,0
764,0.6499999999999999,0.505,0
765,0.6599999999999999,0.505,0
766,0.6699999999999999,0.505,0
767,0.6799999999999999,0.505,0
768,0.69,0.505,0
769,0.7,0.505,0
770,0.71,0.505,0
771,0.72,0.505,0
772,0.73,0.505,0
773,0.74,0.505,0
774,0.75,0.505,0
775,0.76,0.505,0
776,0.77,0.505,0
777,0.78,0.505,0
778,0.79,0.505,0
779,0.8,0.505,0
780,0.81,0.505,0
781,0.8200000000000001,0.505,0
782,0.8300000000000001,0.505,0
783,0.8400000000000001,0.505,0
784,0.8500000000000001,0.505,0
785,0.8600000000000001,0.505,0
786,0.8700000000000001,0.505,0
787,0.8799999999999999,0.505,0
788,0.8899999999999999,0.505,0
789,0.8999999999999999,0.505,0
790,0.9099999999999999,0.505,0
791,0.9199999999999999,0.505,0
792,0.9299999999999999,0.505,0
793,0.94,0.505,0
794,0.95,0.505,0
795,0.96,0.505,0
796,0.97,0.505,0
797,0.98,0.505,0
798,0.99,0.505,0
799,1.0,0.505,0
800,1.0,0.505,0
801,1.0,0.505,0
802,1.0,0.505,0
803,1.0,0.505,0
804,1.0,0.505,0
805,1.0,0.505,0
806,1.0,0.505,0
807,1.0,0.505,0
808,1.0,0.505,0
809,1.0,0.505,0
810,1.0,0.505,0
811,1.0,0.505,0
812,1.0,0.505,0
813,1.0,0.505,0
814,1.0,0.505,0
815,1.0,0.505,0
816,1.0,0.505,0
817,1.0,0.505,0
818,1.0,0.505,0
819,1.0,0.505,0
820,1.0,0.505,0
821,1.0,0.505,0
822,1.0,0.505,0
823,1.0,0.505,0
824,1.0,0.505,0
825,1.0,0.505,0
826,1.0,0.505,0
827,1.0,0.505,0
828,1.0,0.505,0
829,1.0,0.505,0
830,1.0,0.505,0
831,1.0,0.505,0
832,1.0,0.505,0
833,1.0,0.505,0
834,1.0,0.505,0
835,1.0,0.505,0
836,1.0,0.505,0
837,1.0,0.505,0
838,1.0,0.505,0
839,1.0,0.505,0
840,1.0,0.505,0
841,1.0,0.505,0
842,1.0,0.505,0
843,1.0,0.505,0
844,1.0,0.505,0
845,1.0,0.505,0
846,1.0,0.505,0
847,1.0,0.505,0
848,1.0,0.505,0
849,1.0,0.505,0
850,1.0,0.505,0
851,1.0,0.505,0
852,1.0,0.505,0
853,1.0,0.505,0
854,1.0,0.505,0
855,1.0,0.505,0
856,1.0,0.505,0
857,1.0,0.505,0
858,1.0,0.505,0
859,1.0,0.505,0
860,1.0,0.505,0
861,1.0,0.505,0
862,1.0,0.505,0
863,1.0,0.505,0
864,1.0,0.505,0
865,1.0,0.505,0
866,1.0,0.505,0
867,1.0,0.505,0
868,1.0,0.505,0
869,1.0,0.505,0
870,1.0,0.505,0
871,1.0,0.505,0
872,1.0,0.505,0
873,1.0,0.505,0
874,1.0,0.505,0
875,1.0,0.505,0
876,1.0,0.505,0
877,1.0,0.505,0
878,1.0,0.505,0
879,1.0,0.505,0
880,1.0,0.505,0
881,1.0,0.505,0
882,1.0,0.505,0
883,1.0,0.505,0
884,1.0,0.505,0
885,1.0,0.505,0
886,1.0,0.505,0
887,1.0,0.505,0
888,1.0,0.505,0
889,1.0,0.505,0
890,1.0,0.505,0
891,1.0,0.505,0
892,1.0,0.505,0
893,1.0,0.505,0
894,1.0,0.505,0
895,1.0,0.505,0
896,1.0,0.505,0
897,1.0,0.505,0
898,1.0,0.505,0
899,1.0,0.505,0
900,1.0,0.505,0
901,1.0,0.505,0
902,1.0,0.505,0
903,1.0,0.505,0
904,1.0,0.505,0
905,1.0,0.505,0
906,1.0,0.505,0
907,1.0,0.505,0
908,1.0,0.505,0
909,1.0,0.505,0
910,1.0,0.505,0
911,1.0,0.505,0
912,1.0,0.505,0
913,1.0,0.505,0
914,1.0,0.505,0
915,1.0,0.505,0
916,1.0,0.505,0
917,1.0,0.505,0
918,1.0,0.505,0
919,1.0,0.505,0
920,1.0,0.505,0
921,1.0,0.505,0
922,1.0,0.505,0
923,1.0,0.505,0
924,1.0,0.505,0
925,1.0,0.505,0
926,1.0,0.505,0
927,1.0,0.505,0
928,1.0,0.505,0
929,1.0,0.505,0
930,1.0,0.505,0
931,1.0,0.505,0
932,1.0,0.505,0
933,1.0,0.505,0
934,1.0,0.505,0
935,1.0,0.505,0
936,1.0,0.505,0
937,1.0,0.505,0
938,1.0,0.505,0
939,1.0,0.505,0
940,1.0,0.505,0
941,1.0,0.505,0
942,1.0,0.505,0
943,1.0,0.505,0
944,1.0,0.505,0
945,1.0,0.505,0
946,1.0,0.505,0
947,1.0,0.505,0
948,1.0,0.505,0
949,1.0,0.505,0
950,1.0,0.505,0
951,1.0,0.505,0
952,1.0,0.505,0
953,1.0,0.505,0
954,1.0,0.505,0
955,1.0,0.505,0
956,1.0,0.505,0
957,1.0,0.505,0
958,1.0,0.505,0
959,1.0,0.505,0
960,1.0,0.505,0
961,1.0,0.505,0
962,1.0,0.505,0
963,1.0,0.505,0
964,1.0,0.505,0
965,1.0,0.505,0
966,1.0,0.505,0
967,1.0,0.505,0
968,1.0,0.505,0
969,1.0,0.505,0
970,1.0,0.505,0
971,1.0,0.505,0
972,1.0,0.505,0
973,1.0,0.505,0
974,1.0,0.505,0
975,1.0,0.505,0
976,1.0,0.505,0
977,1.0,0.505,0
978,1.0,0.505,0
979,1.0,0.505,0
980,1.0,0.505,0
981,1.0,0.505,0
982,1.0,0.505,0
983,1.0,0.505,0
984,1.0,0.505,0
985,1.0,0.505,0
986,1.0,0.505,0
987,1.0,0.505,0
988,1.0,0.505,0
989,1.0,0.505,0
990,1.0,0.505,0
991,1.0,0.505,0
992,1.0,0.505,0
993,1.0,0.505,0
994,1.0,0.505,0
995,1.0,0.505,0
996,1.0,0.505,0
997,1.0,0.505,0
998,1.0,0.505,0
999,1.0,0.505,0
